Prof,DT
1000,NaN
1250,173
1300,170.2
1350,164.4
1400,157.4
1450,154
1500,158.4
1550,156.6
1600,150.8
1650,151.8
1700,143.6
1750,143
1800,143
1850,149.2
1900,147.4
1950,152.8
2000,149.4
2050,143.4
2100,138.4
2150,143.6
2200,139
2250,140.2
2300,138
2350,136.2
2400,132.8
2450,136
2500,136.6
2550,133.618
2600,130.346
2650,122.534
2700,113.734
2750,108.622
2800,110.612
2850,110.848
2900,116.598
2950,120.498
3000,113.588
3050,113.996
3100,119.232
3150,112.896
3200,107.394
3250,115.354
3300,113.538
3350,110.222
3400,118.844
3450,128.426
3500,123.092
3550,129.234
3600,120.44
3650,118.274
3700,107.494
3750,109.942
3800,101.278
3850,107.558
3900,109.1
3950,114.814
4000,113.182
4050,124.222
4100,126.598
4150,119.398
4200,113.298
4250,120.008
4300,120.976
4350,124.594
4400,132.754
4450,142.925
4500,143.6833333
